date,activity_type,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length
2020-03-01 13:57:46,Running,Portland Running,3.01,465,00:30:43,149,173,3.3,161,178,10:12,8:35,46,72,0.98
2020-02-28 17:17:09,Cycling,Portland Cycling,3.85,130,00:17:53,104,154,0.8,0,0,12.9,23.6,269,89,0.0
2020-02-28 07:44:01,Cycling,Portland Cycling,3.52,71,00:13:25,90,117,0.2,0,0,15.8,26.2,46,226,0.0
2020-02-27 18:54:07,Running,Portland Running,3.01,498,00:32:04,160,180,3.6,156,170,10:40,8:39,46,72,0.97
2020-02-26 17:23:34,Cycling,Portland Cycling,3.82,95,00:17:20,92,153,0.5,0,0,13.2,21.3,262,85,0.0
2020-02-26 07:43:54,Cycling,Portland Cycling,3.51,118,00:14:10,110,159,1.0,0,0,14.9,28.3,30,223,0.0
2020-02-25 17:36:28,Cycling,Portland Cycling,3.83,88,00:18:55,87,122,0.2,0,0,12.1,21.8,269,79,0.0
2020-02-25 07:36:43,Cycling,Portland Cycling,3.53,78,00:13:03,95,147,0.4,0,0,16.2,29.1,46,249,0.0
2020-02-24 07:34:29,Cycling,Portland Cycling,3.53,63,00:13:17,86,127,0.2,0,0,16.0,26.3,43,217,0.0
2020-02-23 18:00:39,Running,Portland Running,3.01,484,00:31:14,155,173,3.8,156,171,10:23,8:49,52,108,1.0
2020-02-22 10:51:52,Cycling,Portland Cycling,40.22,614,02:59:27,80,159,1.7,0,0,13.4,22.1,764,709,0.0
2020-02-21 16:29:15,Cycling,Portland Cycling,3.82,209,00:17:57,128,173,2.7,0,0,12.8,22.4,249,92,0.0
2020-02-21 07:09:51,Cycling,Portland Cycling,3.51,148,00:14:52,118,163,2.0,0,0,14.2,26.8,43,249,0.0
2020-02-20 17:30:10,Cycling,Portland Cycling,3.83,148,00:17:37,109,149,1.3,0,0,13.0,22.8,269,85,0.0
2020-02-20 07:40:45,Cycling,Portland Cycling,3.5,170,00:13:44,131,164,2.2,0,0,15.3,27.0,36,223,0.0
2020-02-14 17:33:53,Cycling,Portland Cycling,3.84,212,00:18:18,127,172,2.4,0,0,12.6,25.3,253,75,0.0
2020-02-14 07:40:38,Cycling,Portland Cycling,3.51,156,00:14:39,122,144,1.9,0,0,14.4,23.8,26,210,0.0
2020-02-13 17:35:14,Cycling,Portland Cycling,3.84,251,00:17:09,148,196,3.1,0,0,13.4,25.3,259,102,0.0
2020-02-13 07:41:46,Cycling,Portland Cycling,3.51,146,00:14:39,119,145,1.8,0,0,14.4,24.8,33,230,0.0
2020-02-12 17:19:38,Cycling,Portland Cycling,3.84,280,00:18:47,148,185,3.4,0,0,12.3,20.6,279,95,0.0
2020-02-12 07:27:01,Cycling,Portland Cycling,3.47,144,00:14:23,119,154,1.9,0,0,14.5,28.6,39,236,0.0
2020-02-11 17:29:57,Cycling,Portland Cycling,3.88,219,00:16:40,135,172,3.0,0,0,14.0,20.9,272,95,0.0
2020-02-11 07:31:35,Cycling,Portland Cycling,3.51,142,00:16:17,111,145,1.5,0,0,12.9,24.1,49,236,0.0
2020-02-09 11:02:04,Hiking,Tillamook County Hiking,4.79,"1,017",02:48:33,102,153,2.8,57,218,35:12,10:05,"1,519","1,450",0.81
