Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Elev Gain,Elev Loss,Avg Pace,Best Pace,Total Strokes,Climb Time,Bottom Time,Unnamed: 0,Unnamed: 0.1,Total Reps,Total Sets
Running,7/22/2021 19:05,False,Portland Running,7.01,"1,171",1:05:50,159,182,3.9,173,235,9:23,7:12,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:06.5,8,0.0,1:05:45,1:06:49,301,699,741,807,,,,,,,,,
Running,7/20/2021 12:44,False,Portland Running,6.01,"1,009",0:59:36,151,172,3.5,165,196,9:55,7:42,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,00:04.9,7,0.0,0:57:06,0:59:36,167,292,210,197,,,,,,,,,
Cycling,7/19/2021 18:42,False,Portland Cycling,18.27,"1,035",1:27:52,133,174,2.4,--,--,12.5,27.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,12:53.0,4,0.0,1:22:14,1:31:31,229,675,804,817,,,,,,,,,
Cycling,7/18/2021 17:45,False,Portland Cycling,24.88,"1,328",1:55:03,135,183,3.1,--,--,13,25.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,19:11.1,5,0.0,1:51:00,2:00:22,94,764,"1,093","1,096",,,,,,,,,
Walking,7/17/2021 12:43,False,Portland Walking,2.83,408,1:02:22,87,115,0.3,83,122,22:00,4:02,,,0.89,0.0,0.0,0.0,0.0,0.0,0:00,86.0,0:00,No,17:45.7,3,0.0,0:53:05,1:02:22,151,285,167,161,,,,,,,,,
Cycling,7/16/2021 12:54,False,Portland Cycling,8.32,506,0:39:29,131,162,2.3,--,--,12.6,34.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,15:01.4,2,0.0,0:37:32,0:45:42,246,653,541,522,,,,,,,,,
Running,7/15/2021 12:24,False,Portland Running,6.22,972,0:59:45,148,161,3.1,172,186,9:36,8:14,,,0.98,0.0,0.0,0.0,0.0,0.0,0:00,73.4,0:00,No,01:51.5,7,0.0,0:59:44,0:59:45,199,280,210,203,,,,,,,,,
Running,7/14/2021 12:17,False,Portland Running,5.81,963,0:57:45,153,167,3.4,171,192,9:57,8:20,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,08:35.9,6,0.0,0:56:59,0:57:50,159,595,689,682,,,,,,,,,
Running,7/13/2021 13:28,False,Portland Running,6.21,"1,032",0:59:01,156,176,3.9,169,198,9:30,7:50,,,1.0,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,01:46.9,7,0.0,0:57:27,0:59:01,365,486,256,240,,,,,,,,,
Running,7/11/2021 7:00,False,Clackamas County Running,29.06,"4,771",5:58:01,153,179,4.1,151,215,12:19,8:51,,,0.87,0.0,0.0,0.0,0.0,0.0,0:00,57.2,0:00,No,00:46.2,30,0.0,5:45:36,5:58:01,"3,258","4,222","2,510","2,457",,,,,,,,,
Running,7/7/2021 12:38,False,Portland Running,4.34,703,0:42:29,150,171,3.1,172,208,9:47,8:24,,,0.96,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,03:19.2,5,0.0,0:42:23,0:42:43,162,597,502,443,,,,,,,,,
Running,7/5/2021 15:30,False,Portland Running,4.01,637,0:38:02,148,159,3.1,172,188,9:29,8:39,,,0.98,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,00:04.1,5,0.0,0:38:01,0:38:02,300,362,121,115,,,,,,,,,
Running,7/3/2021 10:52,False,Tillamook County Running,10.01,"1,528",1:35:59,152,168,3.2,173,189,9:35,7:40,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,66.2,0:00,No,00:03.4,11,0.0,1:35:56,1:37:03,-14,-3,7,20,,,,,,,,,
Running,7/1/2021 12:14,False,Portland Running,6.01,980,1:00:36,147,161,3.2,169,196,10:05,8:32,,,0.94,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:03.5,7,0.0,0:59:12,1:00:36,156,278,200,210,,,,,,,,,
Running,6/30/2021 11:03,False,Portland Running,4.15,670,0:38:23,155,172,3.3,171,196,9:16,7:32,,,1.02,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,01:16.1,5,0.0,0:37:31,0:38:23,162,591,446,443,,,,,,,,,
Running,6/26/2021 7:08,False,Portland Running,16.01,"2,534",2:47:14,151,168,3.4,172,194,10:27,8:04,,,0.9,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,00:03.7,17,0.0,2:47:09,2:47:14,300,675,692,630,,,,,,,,,
Running,6/24/2021 13:13,False,Portland Running,6.01,"1,011",0:59:08,152,172,3.6,172,203,9:50,8:14,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,00:05.1,7,0.0,0:59:06,0:59:08,151,278,200,197,,,,,,,,,
